#QM    interpInQMgrid400k    MM
-0.255418 24.007222 -0.113731
0.406892 1.688263 0.217156
0.477620 -1.008572 0.281831
-0.182838 3.927362 -0.121604
0.246902 20.559840 0.237423
-1.216006 34.642970 -0.608166
-4.866536 -74.056641 -1.163906
0.185425 44.980724 -0.767712
-5.964089 -32.418572 -2.061635
0.017355 0.043432 0.049392
-0.091651 0.416116 -0.063249
0.052471 -0.037211 0.042775
0.184596 48.984618 -0.156179
-1.281501 -22.520987 -0.537575
1.264274 3.488345 0.456347
0.444304 10.367815 0.178729
0.685300 -30.305603 0.296794
0.474204 -9.237347 0.386600
-0.359093 -5.600128 -0.247381
-0.055116 -5.167498 -0.097804
-0.305939 -29.252531 -0.122703
-0.315753 5.049520 -0.177466
-0.044078 -8.836824 0.075281
-0.166405 -16.446769 -0.107582
0.877182 67.215933 1.561026
1.442453 6.431081 -0.962870
-5.518794 -48.249703 -5.349187
-1.204417 -6.768810 -0.913212
2.502539 -72.900561 1.180573
-5.720641 16.880171 -2.228555
-0.741091 6.935076 -0.392555
-0.605812 -23.999353 -0.224532
0.069715 -19.167812 -0.030669
-0.013030 12.128869 -0.017324
-0.176895 1.901061 -0.145011
0.363567 1.515274 0.138929
0.574920 13.257997 0.284836
0.429355 -11.949775 0.202672
0.016287 7.740431 0.099491
-0.682695 -1.014399 -0.234454
0.853017 -2.171097 0.482884
-0.122335 -27.863175 -0.174190
-0.141721 24.210582 -0.282776
-0.672195 -18.011512 -0.205821
0.362803 -24.015888 0.243158
-1.655574 14.418543 -0.894958
0.466801 49.291991 0.662605
-1.303745 -23.583032 -0.305405
-1.535821 27.798929 -0.525780
1.763311 50.795670 0.493953
3.402427 35.378852 0.746054
1.055900 10.412307 0.697376
0.036229 34.981755 0.427392
-1.588815 66.981881 -0.604187
-0.856066 -7.149425 -0.291247
0.480717 32.499175 0.341091
0.775570 22.500577 0.395864
0.061939 nan -0.105930
1.269907 nan 0.607388
-0.199531 nan 0.036854
-1.082385 36.748943 -0.106566
0.948817 40.197073 0.032064
-2.958313 42.637912 -1.053652
6.319748 31.654796 1.842782
-2.632201 -74.554180 -1.343362
1.222338 31.156494 -0.274840
0.604042 -1.469630 0.313590
0.439773 -16.540422 0.123056
-0.007542 10.315650 -0.007105
-0.618897 -17.554296 -0.229228
2.426179 -26.497578 1.318276
0.879460 -43.513473 0.237126
2.371205 48.393659 -0.303917
2.251877 52.754227 1.661093
-0.685806 49.354981 -0.329537
-4.348146 -85.053717 -2.930332
9.773955 17.982309 2.842661
-7.083883 -0.303532 -2.057756
3.577612 18.436122 1.041272
2.368224 -73.000949 0.901596
0.354987 18.753636 0.777813
-0.444358 22.038175 -0.313481
-0.882475 -7.982944 -0.460721
-0.403995 5.384292 -0.127942
