#QM    interpInQMgrid400k    MM
-2.494916 -2.495043 -1.852025
0.168925 0.151636 0.166821
-1.423486 -1.449622 -1.192867
-0.929905 -0.754139 -0.284285
0.416795 0.413001 0.425809
-0.520928 -0.674849 -0.121873
1.110888 1.168812 0.550579
1.518273 1.509868 0.621868
0.364717 0.451039 0.395090
-0.202886 -0.188161 -0.052318
-0.164460 -0.211948 -0.071867
1.875236 1.784776 0.920752
1.152228 1.131784 0.615709
2.274215 2.585531 1.075476
0.934037 0.550507 0.529326
-1.296993 -1.256039 -0.806332
-0.421709 -0.278737 -0.138179
-0.455479 -0.484498 -0.247396
0.853733 0.815185 0.609863
-0.781521 -0.647215 -0.428728
0.362210 0.304098 0.043485
0.543006 0.550529 0.533919
0.673288 0.692819 0.777838
-0.047137 0.079755 -0.063185
0.825487 0.636024 0.398669
0.793011 0.888185 0.468035
-0.471630 -0.465735 -0.481576
13.532531 13.507441 5.264128
0.101791 0.036504 0.032970
-0.936319 -1.229659 -0.556763
-1.445101 -1.517800 -0.384630
-2.262279 -2.365972 -0.596470
-0.217329 -0.180534 -0.171304
2.982553 2.508422 1.273101
0.706366 0.705456 0.395016
0.034159 0.098944 0.026365
2.084410 1.950733 0.484159
-3.683228 -3.655674 -2.188441
-0.861741 -0.977238 -0.489098
1.208913 1.137859 -0.005637
-1.014767 -0.926416 -0.757079
0.054490 0.074194 0.046010
-0.359894 -0.279787 -0.125139
-2.115543 -1.990578 -0.851364
10.592398 10.285447 3.849264
0.182340 0.193212 0.043572
-1.982324 -1.982043 -0.756463
-1.810189 -1.689614 -0.757986
-0.697665 -0.551074 -0.409197
-0.321625 -0.415556 -0.188403
0.120524 0.195974 0.082558
0.979839 0.925634 0.462995
2.497454 2.476049 2.896585
-0.350931 -0.362161 -0.164851
0.802687 0.779405 0.272228
0.130675 0.134743 -0.043078
-1.519266 -1.710953 -0.714087
-0.333315 -0.285000 -0.138099
-2.276430 -2.294377 -1.073154
2.354991 2.143268 0.824374
-0.429487 -0.455205 -0.071955
-0.471362 -0.257194 -0.156586
1.091085 1.102334 0.892066
-0.869949 -0.824175 -0.340298
-0.713379 -0.834863 -0.386806
0.233109 0.214919 0.072309
0.316775 0.293201 0.166313
0.308781 0.302687 0.114281
2.463491 2.461338 1.208517
1.800391 1.839873 1.049953
0.459254 0.505926 0.368001
-0.139875 -0.239970 0.061611
-2.742508 -2.743915 -0.912874
-1.356450 -1.110662 -0.719414
0.092330 0.197672 0.035997
-0.354959 -0.355363 -0.180773
-0.960872 -0.963473 -0.586065
0.225376 0.237997 0.112758
0.529010 0.520103 0.325256
0.821969 0.802558 0.228966
-2.594306 -2.574077 -1.507548
12.497244 12.241749 3.530193
0.411605 0.372598 0.188671
0.397996 0.570875 0.302761
-0.460256 -0.429101 -0.073188
4.725661 4.685229 4.649620
1.138749 1.217707 0.415222
0.517398 0.747080 0.259064
0.139519 0.109483 0.130353
-1.146368 -0.846631 -0.493601
0.156618 0.116594 0.069276
-0.923652 -0.896558 -0.421632
4.590856 4.337983 1.163135
-0.331691 -0.405963 -0.159034
5.696251 5.732113 2.578110
1.946420 1.785804 -0.148159
7.541686 7.459675 8.588122
-0.108298 -0.151557 0.133466
-1.626475 -1.733234 -0.948430
6.143538 5.988280 1.150499
1.282044 1.253748 0.518537
0.269730 0.311701 0.238371
5.172563 5.125146 3.329969
7.406468 7.392526 4.392409
-0.485419 -0.440817 -0.213321
-0.882604 -0.825461 -0.362095
-0.518032 -0.655567 -0.685722
0.020045 -0.021435 0.027401
-0.826643 -1.021632 -0.372229
-0.869653 -0.911397 -0.284728
